10000,11
20000,40
30000,89
40000,155
50000,239
60000,352
70000,450
80000,588
90000,767
100000,926
110000,1135
120000,1282
130000,1505
140000,1741
150000,1974
160000,2239
170000,2508
180000,2766
190000,3225
200000,3389
